run,split,N,mass_ratio,Q_tag,Q_soft,Q_unsoft,amp_factor,old_metric,new_metric,old_fail,conv_residual,dt,h_over_tcrossE,h_over_tcrossU,max_n_sub,force_evals,min_sep,min_sep_over_eps,jump_share,n_snapshots
cluster_01031.h5,train,3,10,0.407457,0.407474,0.407457,0.796263,0.0128301,0.0102161,False,0,0.01,0.00999918,0.0140728,262,310278,0.0380535,19.0267,0.66243,100
cluster_01032.h5,train,3,10,0.52496,0.524997,0.52496,0.737501,3.74014e-05,2.75836e-05,False,0,0.01,0.00999854,0.0157867,193,316779,0.0377319,18.8659,0.113603,100
cluster_01033.h5,train,3,10,0.55188,0.551911,0.55188,0.724045,0.00014142,0.000102394,False,0,0.01,0.00999883,0.0162294,238,322536,0.0221029,11.0514,0.0826269,100
cluster_01034.h5,train,3,10,0.624746,0.624793,0.624746,0.687603,0.00144086,0.00099074,False,2.18867e-16,0.01,0.00999835,0.0175356,252,740583,0.0128281,6.41403,0.0819096,100
cluster_01035.h5,train,3,10,1.12515,1.1253,1.12515,0.43735,0.000770766,0.000337095,False,0,0.01,0.00999552,0.0345591,272,337458,0.00295128,1.47564,0.116046,101
cluster_01036.h5,train,3,10,1.21361,1.21402,1.21361,0.392989,0.000564371,0.000221792,False,0,0.01,0.00998714,0.0405388,231,484047,0.0150025,7.50123,0.127199,100
cluster_01037.h5,train,3,10,1.32464,1.32492,1.32464,0.337539,0.00356334,0.00120277,False,0,0.01,0.00999061,0.0509455,278,510690,0.00642401,3.21201,0.0662021,100
cluster_01038.h5,train,3,10,1.34076,1.34116,1.34076,0.32942,0.133308,0.0439143,True,0,0.01,0.00998648,0.0528186,278,368214,0.000900971,0.450486,0.081472,108
cluster_01039.h5,train,3,10,1.45633,1.45697,1.45633,0.271517,0.000572729,0.000155506,False,1.74303e-16,0.01,0.0099758,0.0705102,231,649698,0.0167218,8.36088,0.0521887,100
cluster_01040.h5,train,4,1,0.344695,0.344697,0.344695,0.827652,0.00900736,0.00745495,False,0,0.01,0.0099999,0.0132808,171,133512,0.00241703,1.20852,0.326018,101
cluster_01041.h5,train,4,1,0.380231,0.380234,0.380231,0.809883,0.000231134,0.000187192,False,1.44798e-16,0.01,0.00999984,0.0137202,171,118803,0.0394313,19.7156,0.0797294,100
cluster_01042.h5,train,4,1,0.483821,0.483825,0.483821,0.758088,0.00233796,0.00177238,False,1.22344e-16,0.01,0.00999982,0.01515,176,238722,0.00872951,4.36476,0.103417,100
cluster_01043.h5,train,4,1,0.544304,0.544311,0.544304,0.727844,8.20345e-05,5.97083e-05,False,0,0.01,0.00999972,0.0161039,161,182319,0.0466007,23.3003,0.0813677,100
cluster_01044.h5,train,4,1,0.665414,0.665462,0.665414,0.667269,0.00626357,0.00417949,False,0,0.01,0.00999837,0.0183433,180,198828,0.00493834,2.46917,0.175037,105
cluster_01045.h5,train,4,1,1.17524,1.17528,1.17524,0.412361,0.0126389,0.00521179,False,0,0.01,0.00999896,0.0377606,182,305187,0.00322662,1.61331,0.438574,101
cluster_01046.h5,train,4,1,1.23794,1.23798,1.23794,0.38101,0.000680462,0.000259263,False,0,0.01,0.00999877,0.042515,182,174426,0.0187858,9.3929,0.125685,100
cluster_01047.h5,train,4,1,1.32851,1.32859,1.32851,0.335705,0.0417157,0.0140042,True,1.23872e-16,0.01,0.00999729,0.051398,183,271254,0.00300729,1.50365,0.160547,103
cluster_01048.h5,train,4,1,1.38355,1.38364,1.38355,0.308181,0.00904282,0.00278682,False,0,0.01,0.00999673,0.0584318,185,239841,0.00403169,2.01585,0.0923888,107
cluster_01049.h5,train,4,1,1.45037,1.45046,1.45037,0.274768,0.00353406,0.000971047,False,1.11653e-16,0.01,0.00999656,0.0694066,178,205074,0.0102224,5.1112,0.206171,100
cluster_01050.h5,train,4,3,0.348354,0.34836,0.348354,0.82582,6.16205e-05,5.08874e-05,False,0,0.01,0.0099997,0.0133247,144,240867,0.0418661,20.933,0.148339,100
cluster_01051.h5,train,4,3,0.438768,0.438772,0.438768,0.780614,0.000124915,9.75107e-05,False,1.38985e-16,0.01,0.00999984,0.014499,160,283029,0.0211497,10.5748,0.0810759,100
cluster_01052.h5,train,4,3,0.539073,0.539088,0.539073,0.730456,6.81806e-06,4.98029e-06,False,0,0.01,0.00999942,0.0160171,150,293796,0.0654301,32.715,0.022949,100
cluster_01053.h5,train,4,3,0.611379,0.611386,0.611379,0.694307,0.000194073,0.000134746,False,0,0.01,0.00999976,0.0172847,226,165960,0.016887,8.44348,0.190031,100
